title,source,place,published_date,commencement_date,url
"The Legal Practitioners Act, 1879",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 18 on 29 October 1879,29 October 1879,https://indiankanoon.org/doc/77633/
"The Elephants Preservation Act, 1879",Union of India - Act,"UNION OF INDIA,India",22 March 1879,22 March 1879,https://indiankanoon.org/doc/518663/
"The Elephants Preservation Act, 1879",Union of India - Act,"UNION OF INDIA,India",22 March 1879,22 March 1879,https://indiankanoon.org/doc/518663/
"The Legal Practitioners Act, 1879",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 18 on 29 October 1879,29 October 1879,https://indiankanoon.org/doc/77633/
"The Negotiable Instruments Act, 1881",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 26 on 9 December 1881,9 December 1881,https://indiankanoon.org/doc/1132672/
"The Obstructions in Fairways Act, 1881",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 15 March 1881,Not commenced,https://indiankanoon.org/doc/113850315/
"The Obstructions in Fairways Act, 1881",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 15 March 1881,Not commenced,https://indiankanoon.org/doc/113850315/
"The Negotiable Instruments Act, 1881",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 26 on 9 December 1881,9 December 1881,https://indiankanoon.org/doc/1132672/
"The Indian Easements Act, 1882",Union of India - Act,"UNION OF INDIA,India",17 February 1882,17 February 1882,https://indiankanoon.org/doc/82950642/
"The Powers-Of-Attorney Act, 1882",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 7 on 24 February 1882,24 February 1882,https://indiankanoon.org/doc/1232250/
"Presidency Small Cause Courts Act, 1882",Union of India - Act,"UNION OF INDIA,India",17 March 1882,17 March 1882,https://indiankanoon.org/doc/997218/
"The Indian Easements Act, 1882",Union of India - Act,"UNION OF INDIA,India",17 February 1882,17 February 1882,https://indiankanoon.org/doc/82950642/
"The Powers-Of-Attorney Act, 1882",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 7 on 24 February 1882,24 February 1882,https://indiankanoon.org/doc/1232250/
"Presidency Small Cause Courts Act, 1882",Union of India - Act,"UNION OF INDIA,India",17 March 1882,17 March 1882,https://indiankanoon.org/doc/997218/
"The Land Improvement Loans Act, 1883",Union of India - Act,"UNION OF INDIA,India",12 October 1883,12 October 1883,https://indiankanoon.org/doc/447410/
"The Land Improvement Loans Act, 1883",Union of India - Act,"UNION OF INDIA,India",12 October 1883,12 October 1883,https://indiankanoon.org/doc/447410/
"Agriculturist's Loans Act, 1884",Union of India - Act,"UNION OF INDIA,India",24 July 1884,24 July 1884,https://indiankanoon.org/doc/939004/
"Agriculturist's Loans Act, 1884",Union of India - Act,"UNION OF INDIA,India",24 July 1884,24 July 1884,https://indiankanoon.org/doc/939004/
"The Indian Telegraph Act, 1885",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 13 on 22 July 1885,22 July 1885,https://indiankanoon.org/doc/357830/
"The Land Acquisition (Mines) Act, 1885",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India 18 on 16 October 1885,Not commenced,https://indiankanoon.org/doc/1108265/
"The Indian Telegraph Act, 1885",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 13 on 22 July 1885,22 July 1885,https://indiankanoon.org/doc/357830/
"The Land Acquisition (Mines) Act, 1885",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India 18 on 16 October 1885,Not commenced,https://indiankanoon.org/doc/1108265/
"The Births, Deaths And Marriages Registration Act, 1886",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 6 on 8 March 1886,8 March 1886,https://indiankanoon.org/doc/601293/
"Indian Tramways Act, 1886",Union of India - Act,"UNION OF INDIA,India",12 March 1886,12 March 1886,https://indiankanoon.org/doc/1662936/
"The Births, Deaths And Marriages Registration Act, 1886",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 6 on 8 March 1886,8 March 1886,https://indiankanoon.org/doc/601293/
"Indian Tramways Act, 1886",Union of India - Act,"UNION OF INDIA,India",12 March 1886,12 March 1886,https://indiankanoon.org/doc/1662936/
"Bengal, Agra And Assam Civil Courts Act, 1887",Union of India - Act,"UNION OF INDIA,India",11 March 1887,11 March 1887,https://indiankanoon.org/doc/854063/
"Bengal, Agra And Assam Civil Courts Act, 1887",Union of India - Act,"UNION OF INDIA,India",11 March 1887,11 March 1887,https://indiankanoon.org/doc/854063/
"The Police Act, 1888",Union of India - Act,"UNION OF INDIA,India",1 January 1888,1 January 1888,https://indiankanoon.org/doc/1158685/
"The Indian Reserve Forces Act, 1888",Union of India - Act,"UNION OF INDIA,India",1 January 1888,1 January 1888,https://indiankanoon.org/doc/603517/
"The Police Act, 1888",Union of India - Act,"UNION OF INDIA,India",1 January 1888,1 January 1888,https://indiankanoon.org/doc/1158685/
"The Indian Reserve Forces Act, 1888",Union of India - Act,"UNION OF INDIA,India",1 January 1888,1 January 1888,https://indiankanoon.org/doc/603517/
"The Guardians And Wards Act, 1890",Union of India - Act,"UNION OF INDIA,India",1 January 1890,1 January 1890,https://indiankanoon.org/doc/1874830/
"The Revenue Recovery Act, 1890",Union of India - Act,"UNION OF INDIA,India",14 February 1890,14 February 1890,https://indiankanoon.org/doc/201374/
"Indian Railways Act, 1890.",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 21 March 1890,Not commenced,https://indiankanoon.org/doc/14176619/
"The Charitable Endowments Act, 1890",Union of India - Act,"UNION OF INDIA,India",7 March 1890,7 March 1890,https://indiankanoon.org/doc/495092/
"Colonial Courts of Admiralty Act, 1890",Union of India - Act,"UNION OF INDIA,India",25 July 1890,25 July 1890,https://indiankanoon.org/doc/59187867/
"The Excise (Malt Liquors) Act, 1890",Union of India - Act,"UNION OF INDIA,India",28 March 1890,28 March 1890,https://indiankanoon.org/doc/24822392/
"The Guardians And Wards Act, 1890",Union of India - Act,"UNION OF INDIA,India",1 January 1890,1 January 1890,https://indiankanoon.org/doc/1874830/
"The Revenue Recovery Act, 1890",Union of India - Act,"UNION OF INDIA,India",14 February 1890,14 February 1890,https://indiankanoon.org/doc/201374/
"Indian Railways Act, 1890.",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 21 March 1890,Not commenced,https://indiankanoon.org/doc/14176619/
"The Charitable Endowments Act, 1890",Union of India - Act,"UNION OF INDIA,India",7 March 1890,7 March 1890,https://indiankanoon.org/doc/495092/
"The Excise (Malt Liquors) Act, 1890",Union of India - Act,"UNION OF INDIA,India",28 March 1890,28 March 1890,https://indiankanoon.org/doc/24822392/
